"","x"
"dis_1",1.45360269992051
"dis_2",1.17185790510329
"dis_3",1.24345932978564
"dis_4",1.12070370087331
"dis_5",1.33944451002379
"dis_6",1.19924571959298
"dis_7",1.34192496810241
"dis_8",1.17513642796126
"dis_9",1.05345977577885
"dis_11",1.10266218171683
"dis_12",1.06152089077953
"dis_15",1.04096967619393
"dis_16",1.08413268754611
